Name,Slope,Aspect,DBH,Latitude,Longitude,Elevation,Species
ETC01,10,209,-9999,43.21615,-110.80825,1825,PSME
ETC03,25,213,-9999,43.21868333,-110.8033667,1952,PSME
ETC04,30,262,-9999,43.21908333,-110.8028333,1966,PSME
ETC06,15,195,-9999,43.22408333,-110.8043667,2099,PSME
ETC07,25,233,-9999,43.2241,-110.80625,2053,PSME
ETC08,15,165,0.75,43.21513333,-110.7881167,1857,PSME
ETC09,25,190,0.75,43.21531667,-110.78845,1852,PSME
ETC10,25,193,-9999,43.21743333,-110.78805,1923,PSME
ETC11,20,263,0.6,43.22571667,-110.7954833,2107,PSME
ETC12,30,230,0.86,43.22586667,-110.7958833,2108,PSME
ETC13,20,226,0.45,43.2261,-110.7954167,2112,PSME
ETC14,20,226,0.53,43.2261,-110.7954167,2112,PSME
ETC15,20,232,0.6,43.22585,-110.7954167,2117,PSME
ETC16,35,160,0.32,43.22838333,-110.8015167,2208,PSME
ETC17,10,264,0.45,43.22885,-110.8015333,2221,PSME
ETC18,20,105,0.55,43.22895,-110.8011667,2210,PSME
ETC21,5,224,0.63,43.22988333,-110.8010833,2226,PSME
ETC22,15,230,0.65,43.22996667,-110.80105,2228,PSME
ETC23,20,296,0.51,43.23015,-110.8011167,2229,PSME
ETC24,15,257,0.55,43.23043333,-110.8017333,2223,PSME
ETC25,25,74,0.42,43.23095,-110.8005833,2250,PSME
ETC26,20,76,1.3,43.231,-110.801,2242,PSME
ETC27,12,206,0.52,43.23255,-110.8014167,2254,PSME
