Name,Latitude,Longitude,Elevation,DBH,H
RRR001,48.50565498,-118.758831,973.9,0.84,35.2
RRR002,48.50536597,-118.758073,976.1,0.64,15.8
RRR003,48.50560896,-118.756911,1005.1,0.59,20.8
RRR004,48.50536597,-118.756654,989.7,0.545,13
RRR005,48.50651999,-118.75634,983.7,0.796,24.4
RRR006,48.50722197,-118.754787,1007.8,0.48,15.4
RRR007,48.50810501,-118.755843,1008.4,1.02,34.4
RRR008,48.517314,-118.743029,832.63092,-9999,-9999
RRR009,48.512955,-118.752158,1006.180664,0.75,-9999
RRR010,48.511633,-118.754353,996.435242,0.74,-9999
RRR011,48.511583,-118.754497,986.219421,0.76,-9999
RRR012,48.5114,-118.754551,985.409119,0.8,-9999
RRR013,48.511724,-118.755053,991.146301,0.64,-9999
RRR014,48.510313,-118.754353,992.30365,0.86,-9999
RRR015,48.508658,-118.754571,1005.265503,0.85,-9999
RRR016,48.506407,-118.75558,996.673035,0.77,-9999
RRR017,48.506072,-118.755445,993.776367,0.81,33.4
RRR018,48.506137,-118.755231,993.38269,0.843,32.4
RRR019,48.506212,-118.755032,993.940125,1.071,34.2
RRR020,48.506391,-118.754816,996.702148,1.012,-9999
RRR021,48.506502,-118.75452,992.589111,0.75,34.7
RRR022,48.506553,-118.753445,984.751648,1.06,-9999
RRR023,48.506491,-118.753525,981.091736,0.622,-9999
RRR024,48.505664,-118.752179,973.615723,0.708,-9999
RRR025,48.50532,-118.751716,953.634888,0.98,-9999
RRR026,48.503344,-118.751238,920.404907,0.83,-9999
RRR027,48.502971,-118.750408,911.723145,0.764,-9999
RRR028,48.503331,-118.749785,918.523315,0.892,-9999
RRR029,48.503465,-118.749806,922.33313,1.03,-9999
RRR030,48.505966,-118.749813,935.236084,0.7,-9999
RRR031,48.511181,-118.746205,890.198425,0.85,-9999
